id;actual;estimated;scheduled;city;aircraft;terminal;duration;tail_number;airport_code;airline;flight_number;claim;status;status_text
1;2020-03-15T19:24:34;2020-03-15T10:12:28;2020-03-15T00:33:30;South Mikemouth;Czech Koruna AI;synergy driver bus;customer loyalty firewall real-time;Refined Canyon Czech Koruna;Gorgeous Cotton Chips;Small transmit;Frozen;architect;web-readiness Seamless;Auto Loan Account Investment Account mission-critical
2;2020-03-15T16:38:53;2020-03-15T12:16:56;2020-03-15T01:04:37;South Elianetown;radical indexing Circle;markets;View superstructure Dynamic;Games;De-engineered web services system;hybrid holistic Global;Cheese Intranet portals;visualize;Buckinghamshire;e-markets silver Tennessee
3;2020-03-15T15:09:46;2020-03-15T02:53:04;2020-03-15T07:54:05;Lake Melvina;transmit success Michigan;Corner cyan;withdrawal deposit;input online;Avon open-source Bouvet Island (Bouvetoya);Baby North Dakota;Technician frictionless;Gorgeous Soft Pants Legacy Texas;Baht Shoes hack;parse quantify
4;2020-03-15T10:01:29;2020-03-15T08:00:04;2020-03-15T18:28:12;West Mikayla;Strategist Credit Card Account THX;Generic Soft Bacon overriding;optical Small invoice;calculating Markets online;California optimal;array 24/365 system;Berkshire Point payment;bypassing pixel;clicks-and-mortar;Seychelles
5;2020-03-15T21:50:35;2020-03-15T14:06:05;2020-03-15T07:54:22;North Shyannefort;portals Data Technician;responsive Tools Producer;Senior Sports Unbranded Fresh Cheese;Legacy Oregon;bluetooth circuit Frozen;indexing wireless deposit;Functionality;deposit Passage;functionalities;Investor
6;2020-03-14T22:37:24;2020-03-15T08:01:23;2020-03-15T12:43:36;Casandrafort;Automated;Taka;Practical driver bandwidth;Concrete Fundamental Cambridgeshire;Electronics;Lilangeni Agent deposit;Factors 24/365;North Korean Won overriding vertical;Samoa New Hampshire;6th generation
7;2020-03-15T14:27:15;2020-03-15T18:27:52;2020-03-15T17:39:50;North Dayanaview;virtual Identity;input syndicate Libyan Dinar;indexing reboot;Intelligent;Digitized;open-source Prairie distributed;bandwidth Synergized backing up;Toys Quality;enable Borders Checking Account;3rd generation Avon JBOD
8;2020-03-14T23:53:19;2020-03-15T17:00:25;2020-03-15T14:22:07;Leonardomouth;Auto Loan Account Organic compress;eyeballs Table;Plastic Fully-configurable;customized;wireless Internal Vermont;hacking payment;optical Investment Account Outdoors;Health 24 hour;Uganda;Investor Configuration optimizing
9;2020-03-15T21:48:15;2020-03-15T16:31:01;2020-03-15T19:24:32;Zulaufside;Home Re-contextualized;models Garden payment;Cocos (Keeling) Islands Chair action-items;indexing Berkshire;Savings Account Sleek;Plastic;Handcrafted Frozen Sausages Gorgeous Refined Soft Pants;Buckinghamshire;Markets relationships;hack Wooden Jewelery
10;2020-03-15T11:54:52;2020-03-15T16:08:41;2020-03-15T09:35:11;Hilllview;Handcrafted Concrete Chips;Digitized Auto Loan Account Buckinghamshire;Analyst;Moldova;Coordinator Internal port;Research Gold;Tactics;transmitting Idaho Argentine Peso;Fantastic Plastic Chips;Latvia primary Supervisor
