id;actual;estimated;scheduled;city;aircraft;terminal;duration;tail_number;airport_code;airline;flight_number;gate;status;status_text
1;2020-03-14T23:53:53;2020-03-15T04:00:11;2020-03-15T10:52:17;Lake Monroe;niches;Handmade multi-tasking;calculating;Credit Card Account Guyana Dollar;Unbranded internet solution;Cambridgeshire cyan;teal Central Tasty Wooden Ball;Response online Hat;implementation Intranet Brazil;Architect Montana Total
2;2020-03-15T15:47:55;2020-03-15T02:06:32;2020-03-15T17:08:49;Rodriguezshire;synthesizing;Mouse SMS quantifying;scalable;Extended maximized;protocol Computers;digital Realigned quantify;Refined Avon;Data Kids Dynamic;Profit-focused Rustic Concrete Bike;Colorado override
3;2020-03-14T23:47:36;2020-03-15T10:12:07;2020-03-15T06:44:36;Ryleeberg;Manager backing up back-end;payment Developer Licensed;calculate adapter;Frozen;Auto Loan Account;feed schemas;efficient reboot;Beauty cross-platform;navigate;Shoes bluetooth
4;2020-03-15T04:14:47;2020-03-15T00:47:02;2020-03-15T05:38:23;South Tinashire;Toys Investor Frozen;Sausages sensor vortals;Rubber transmitter;next-generation;Music;bandwidth Cotton indigo;Philippines;Factors XSS Bedfordshire;paradigms sensor;Licensed programming Sweden
5;2020-03-15T09:38:00;2020-03-15T05:50:20;2020-03-15T01:38:16;South Mariabury;reintermediate;Awesome Metal Mouse navigate mobile;overriding;innovative green;olive;Configurable Operations;firewall;Computers compress;Credit Card Account cyan redundant;Awesome Metal Table Automated overriding
6;2020-03-15T01:57:13;2020-03-15T03:44:18;2020-03-15T08:24:24;Baumbachberg;Fresh;Markets Health;Face to face;Operations;capacitor hybrid haptic;Digitized;cultivate payment Zloty;Toys;Rubber e-business Rustic Granite Mouse;productize Bacon Nakfa
7;2020-03-15T00:00:04;2020-03-15T09:38:01;2020-03-15T06:36:08;New Jacques;synthesize Synergized;input;Money Market Account orchid;Global asymmetric;Bacon Home Loan Account;Gloves Plastic;non-volatile invoice deposit;Dynamic;Optimized;Usability backing up Electronics
8;2020-03-15T01:57:13;2020-03-15T14:02:57;2020-03-15T04:53:06;Goodwinton;payment Uzbekistan Sum robust;haptic;Borders;Awesome Soft Table;Table invoice e-business;copying alarm;Berkshire;systems Money Market Account;vertical;Handcrafted Fresh Sausages calculating
9;2020-03-15T00:22:02;2020-03-15T00:07:08;2020-03-15T16:32:45;Port Maya;Croatian Kuna Oval asymmetric;Indian Rupee Ngultrum scalable;Health Legacy JSON;red Checking Account Unbranded Steel Shoes;Table Soft navigating;Mountain;Optional;firewall indexing;Implementation connect Liaison;Electronics Dynamic
10;2020-03-15T07:14:35;2020-03-15T17:07:50;2020-03-15T07:17:11;Lake Ardenton;Mongolia;global Functionality cyan;Devolved Hat;Radial index;Wooden architect;Czech Republic;West Virginia Web;navigating;system;Bike
